epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,1829.62,1.34407,6.236,0.41362,1.57537,1.81512,0.74642,0.67797,0.73387,0.42057,0.17327,0.07657,0.05523,0.01094,1.49972,7.31531,0.48948,1.26549,2.10305,0.0050005,0.0050005,0.0050005
103,1848.78,1.34626,6.26165,0.41048,1.57986,1.82503,0.69082,0.73948,0.74166,0.41431,0.12961,0.14685,0.05421,0.00992,1.53917,7.25038,0.47854,1.23083,2.18499,0.004951,0.004951,0.004951
104,1867.75,1.3694,6.27873,0.419,1.60298,1.8259,0.66234,0.7021,0.65645,0.32794,0.11639,0.11154,0.0361,0.00645,1.68452,7.30873,0.49719,1.36604,2.40832,0.0049015,0.0049015,0.0049015
105,1885.55,1.35125,6.3062,0.41933,1.58157,1.8167,0.69962,0.70993,0.7181,0.39094,0.10981,0.10559,0.03049,0.00428,1.52058,7.27804,0.47737,1.2758,2.14782,0.004852,0.004852,0.004852
106,1903.04,1.35662,6.07597,0.41603,1.58594,1.83387,0.73721,0.68601,0.76421,0.41031,0.14864,0.10734,0.0387,0.00682,1.53102,7.22244,0.4802,1.20292,2.1552,0.0048025,0.0048025,0.0048025
107,1920.88,1.37894,6.4812,0.42732,1.57648,1.82888,0.63578,0.71294,0.70604,0.40312,0.12082,0.08441,0.02661,0.00445,1.50214,7.42384,0.49034,1.28282,2.13875,0.004753,0.004753,0.004753
108,1938.56,1.38567,6.37035,0.41546,1.6039,1.84925,0.60922,0.74406,0.72672,0.38495,0.09916,0.0979,0.0281,0.00525,1.56934,7.13756,0.47265,1.29239,2.18802,0.0047035,0.0047035,0.0047035
109,1956.71,1.37297,6.29951,0.41646,1.59041,1.83711,0.72996,0.73346,0.7619,0.40784,0.15759,0.09476,0.03482,0.00683,1.54936,7.09989,0.47411,1.20994,2.18887,0.004654,0.004654,0.004654
110,1974.55,1.3526,6.2113,0.41255,1.53947,1.80711,0.77638,0.69566,0.77003,0.42546,0.1038,0.14406,0.03972,0.00617,1.52915,7.13109,0.46998,1.15726,2.15242,0.0046045,0.0046045,0.0046045
111,1992.02,1.34741,6.20301,0.40438,1.56095,1.82773,0.70292,0.73865,0.77331,0.43386,0.14238,0.11643,0.05243,0.00941,1.49882,7.16255,0.48478,1.13508,2.11033,0.004555,0.004555,0.004555
112,2009.19,1.33113,6.2081,0.41578,1.51401,1.79987,0.68698,0.72517,0.76458,0.43306,0.20441,0.12552,0.08513,0.01704,1.49707,7.13366,0.48165,1.14574,2.14319,0.0045055,0.0045055,0.0045055
113,2027.16,1.3311,6.19226,0.41381,1.52786,1.79257,0.69077,0.78042,0.77363,0.41157,0.15067,0.0979,0.03973,0.00953,1.60788,7.18853,0.47401,1.16189,2.26033,0.004456,0.004456,0.004456
114,2044.95,1.34766,6.22224,0.41641,1.54408,1.81092,0.6768,0.73733,0.77027,0.44893,0.1336,0.09355,0.03618,0.00606,1.43692,7.16738,0.48396,1.17411,2.08409,0.0044065,0.0044065,0.0044065
115,2062.49,1.34726,6.18314,0.42165,1.53824,1.81794,0.71217,0.72203,0.75445,0.43755,0.16419,0.15594,0.05578,0.01007,1.48645,7.14799,0.46972,1.20641,2.12737,0.004357,0.004357,0.004357
116,2080.23,1.36701,6.00939,0.40191,1.53781,1.82288,0.70462,0.73636,0.72939,0.40454,0.14489,0.15769,0.06277,0.00801,1.53011,7.14294,0.46812,1.22015,2.18504,0.0043075,0.0043075,0.0043075
117,2098.07,1.35511,6.20988,0.41049,1.57146,1.82761,0.64604,0.74196,0.73443,0.42744,0.14279,0.17133,0.05128,0.00873,1.4963,7.13229,0.47514,1.23163,2.13842,0.004258,0.004258,0.004258
118,2116.27,1.33821,6.15758,0.41492,1.55022,1.80083,0.65818,0.77238,0.77202,0.42635,0.20107,0.16224,0.07864,0.01516,1.51275,7.00773,0.47193,1.21522,2.13625,0.0042085,0.0042085,0.0042085
